id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333896,Robert Carr,1964-10,1965-10,,Q333431,,
Q333431,Christopher Chataway,1965-10,1966-03-31,Q333896,Q7330071,,
Q7330071,"Richard Wood, Baron Holderness",1966-04,1967-10,Q333431,Q4892947,,
Q4892947,Bernard Braine,1967-10,1970-06-15,Q7330071,Q333087,,
Q333087,Judith Hart,1970-06-19,1974-03-04,Q4892947,Q7330071,,
Q7330071,"Richard Wood, Baron Holderness",1974-03-04,1975-02-18,Q333087,Q333905,,
Q333905,"Richard Luce, Baron Luce",1976-01-15,1979-05-04,Q7330071,Q333087,,
Q333087,Judith Hart,1979-05-04,1980-12-08,Q333905,Q5488283,,
Q5488283,Frank McElhone,1980-12-08,1982-09-22,Q333087,Q5622076,,
Q5622076,Guy Barnett (UK politician),1982-11-24,1983-10-31,Q5488283,Q7626661,,
Q7626661,Stuart Holland,1983-10-31,1987-07-13,Q5622076,Q285249,,
Q285249,Ann Clwyd,1989-11-02,1992-07-18,Q7626661,Q583993,,
Q583993,Michael Meacher,1992-07-18,1993-10-21,Q285249,Q271935,,
Q271935,Tom Clarke (politician),1993-10-21,1994-10-20,Q583993,Q6205220,,
Q6205220,"Joan Lestor, Baroness Lestor of Eccles",1994-10-20,1996-10,Q271935,Q333550,,
Q333550,Clare Short,1996-07-25,1997-05-02,Q6205220,Q334258,,
Q334258,"Alastair Goodlad, Baron Goodlad",1997-06-30,1998-06-01,Q333550,Q328791,,
Q328791,Gary Streeter,1998-06-01,2001-09-14,Q334258,Q332954,,
Q332954,Caroline Spelman,2001-09-14,2003-11-10,Q328791,Q263147,,
Q263147,John Bercow,2003-11-10,2004-09-08,Q332954,Q302417,,
Q302417,Alan Duncan,2004-09-08,2005-05-10,Q263147,Q333261,,
Q333261,Andrew Mitchell,2005-05-10,2010-05-11,Q302417,Q259106,,
Q259106,Douglas Alexander,2010-05-11,2010-10-08,Q333261,Q234182,,
Q234182,Harriet Harman,2010-10-08,2011-10-07,Q259106,Q749659,,
Q749659,Ivan Lewis,2011-10-07,2013-10-07,Q234182,Q333702,,
Q333702,Jim Murphy,2013-10-07,2014-11-02,Q749659,Q291470,,
Q291470,Mary Creagh,2014-11-05,2015-09-12,Q333702,Q153454,,
Q153454,Diane Abbott,2015-09-13,2016-06-27,Q291470,Q20022488,,
Q20022488,Kate Osamor,2016-06-27,2018-12-01,Q153454,Q30226321,,
Q30226321,Dan Carden,2018-12-01,2020-04-06,Q20022488,Q30173119,,
Q30173119,Preet Gill,2020-04-06,,Q30226321,,,
